,Location,Borough,Date Installed,geometry,B7SCList,B7SCStartingPoints,CrossStreets,NodeList,SimilarNamesList,StartingXStreets,combined_san1_boro_vol_page,combined_san2_boro_vol_page,in_boro,in_boro2,in_func_code,in_stname1,in_stname2,out_ad,out_atomic_polygon,out_boro_name1,out_cd,out_cd_eligible,out_cdta_2020,out_census_block_2020,out_census_tract_2000,out_census_tract_2010,out_census_tract_2020,out_co,out_com_dist,out_compass,out_dcp_pref_lgc1,out_dcp_pref_lgc2,out_dot_st_light_contract_area,out_error_message,out_fire_bat,out_fire_co,out_fire_co_str,out_fire_div,out_grc,out_health_area,out_health_center_dist,out_latitude,out_lion_node_num,out_longitude,out_mc,out_nta_2020,out_police_patrol_boro,out_police_pct,out_police_sector,out_reason_code,out_san_dist_section,out_san_sub_section,out_sanborn1_boro,out_sanborn1_page,out_sanborn1_vol,out_sanborn2_boro,out_sanborn2_page,out_sanborn2_vol,out_school_dist,out_sd,out_stname1,out_stname2,out_wa1_message,out_x_coord,out_y_coord,out_zip_code,AuxiliarySegmentIDList,HighB7SCList,LowB7SCList,add_from_st_code_name,add_on_st_code_name,add_to_st_code_name,dcp_preferred_from_st_code_name,dcp_preferred_to_st_code_name,in_boro3,in_compass_dir,in_stname3,out_No_Parking_lanes,out_No_Traveling_lanes,out_Total_Lanes,out_bike_lane,out_bike_traffic_direction,out_boro_name2,out_boro_name3,out_curve_flag,out_curve_flag_direction,out_dot_street_light_contract_area,out_dsny_snow_priority,out_feature_type,out_from_latitude,out_from_longitude,out_from_node,out_from_x_coord,out_from_y_coord,out_generic_id,out_grc2,out_left_nta,out_left_police_sector,out_left_side_atomic_polygon,out_left_side_blockface_id,out_left_side_boro,out_left_side_cd_eligibility,out_left_side_cdta_2020,out_left_side_census_block_2000,out_left_side_census_block_2010,out_left_side_census_block_2020,out_left_side_census_block_suffix_2020,out_left_side_census_tract_2000,out_left_side_census_tract_2010,out_left_side_census_tract_2020,out_left_side_comdist,out_left_side_comdist_boro,out_left_side_dot_street_light_contract_area,out_left_side_fire_bat,out_left_side_fire_co,out_left_side_fire_div,out_left_side_health_area,out_left_side_health_center_dist,out_left_side_hhnd,out_left_side_iaei,out_left_side_lhnd,out_left_side_nta_2020,out_left_side_police_patrol_boro,out_left_side_police_pct,out_left_side_police_sector,out_left_side_puma_code,out_left_side_school_dist,out_left_side_zip_code,out_lionkey,out_loc_status,out_on_street_b7sc_name,out_pgb_flag,out_physical_id,out_right_nta,out_right_of_way_type,out_right_police_sector,out_right_side_atomic_polygon,out_right_side_blockface_id,out_right_side_boro,out_right_side_cd_eligibility,out_right_side_cdta_2020,out_right_side_census_block_2000,out_right_side_census_block_2010,out_right_side_census_block_2020,out_right_side_census_block_suffix_2020,out_right_side_census_tract_2000,out_right_side_census_tract_2010,out_right_side_census_tract_2020,out_right_side_comdist,out_right_side_comdist_boro,out_right_side_dot_street_light_contract_area,out_right_side_fire_bat,out_right_side_fire_co,out_right_side_fire_div,out_right_side_health_area,out_right_side_health_center_dist,out_right_side_hhnd,out_right_side_iaei,out_right_side_lhnd,out_right_side_nta_2020,out_right_side_police_patrol_boro,out_right_side_police_pct,out_right_side_police_sector,out_right_side_puma_code,out_right_side_school_dist,out_right_side_zip_code,out_roadway_type,out_seg_side_atomic_polygon,out_seg_side_blockface_id,out_seg_side_boro,out_seg_side_cd_eligibility,out_seg_side_cdta_2020,out_seg_side_census_block_2000,out_seg_side_census_block_2010,out_seg_side_census_block_2020,out_seg_side_census_tract_2000,out_seg_side_census_tract_2010,out_seg_side_census_tract_2020,out_seg_side_comdist,out_seg_side_comdist_boro,out_seg_side_fire_bat,out_seg_side_fire_co,out_seg_side_fire_div,out_seg_side_health_area,out_seg_side_health_center_dist,out_seg_side_hhnd,out_seg_side_lhnd,out_seg_side_nta,out_seg_side_nta_2020,out_seg_side_police_patrol_boro,out_seg_side_police_pct,out_seg_side_puma_code,out_seg_side_school_dist,out_seg_side_zip_code,out_segment_id,out_segment_len,out_segment_type,out_sos_ind,out_speed_limit,out_stname3,out_street_width_irregular,out_street_width_max,out_street_width_min,out_to_latitude,out_to_longitude,out_to_node,out_to_x_coord,out_to_y_coord,out_traffic_direction,out_truck_route_type
647,109th Avenue and 133rd Street,Queens,4/17/2020,POINT (40.686024 -73.810863),,,,,"[{'b7sc': '42024001', 'streetName': ' 109 AVENUE                     '}, {'b7sc': '42212001', 'streetName': ' 133 STREET                     '}]",,4/15 /004 ,,4,4,2W,109TH AVENUE                    ,133RD STREET                    ,31,201,QUEENS   ,05,CD Eligible,QN10,2005, 158  , 158.01, 158.01,28,410, ,42024001/  109 AVENUE                     ,42212001/  133 STREET                     ,4,                                                                                ,50,Ladder 126,Ladder 126,13,00,32.10,45,40.686024,0034119,-73.810863 ,4,QN1001,QS,106,106C, ,410/ 103,3D,4,004 ,15 , ,    ,   ,28,10, 109 AVENUE                     , 133 STREET                     ,                                                                                ,1036705,189270,11419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
648,109th Avenue with 130th Street and 129th Street,Queens,12/16/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
649,110th Avenue and Sutphin Boulevard,Queens,8/15/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650,111th Avenue with 126th Street and Hawtree Creek Road,Queens,4/6/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
651,111th Street and 46th Avenue,Queens,1/15/2021,POINT (40.74816 -73.854053),,,,,"[{'b7sc': '41029001', 'streetName': '  46 AVENUE                     '}, {'b7sc': '42049001', 'streetName': ' 111 STREET                     '}]",,4/19 /041 ,4/19 /024 ,4,4,2W,111TH STREET                    ,46TH AVENUE                     ,39,104,QUEENS   ,14,CD Eligible,QN04,1001, 415  , 415  , 415  ,21,404, ,42049001/  111 STREET                     ,41029001/   46 AVENUE                     ,4,                                                                                ,46,Ladder 138,Ladder 138,14,00,15.00,42,40.748160,0051006,-73.854053 ,2,QN0402,QN,110,110D, ,404/ 043,3E,4,041 ,19 ,4,024 ,19 ,24,13, 111 STREET                     ,  46 AVENUE                     ,                                                                                ,1024689,211885,11368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
652,137th Avenue and 172nd Street,Queens,4/7/2017,POINT (40.672887 -73.768516),,,,,"[{'b7sc': '42239001', 'streetName': ' 137 AVENUE                     '}, {'b7sc': '42474001', 'streetName': ' 172 STREET                     '}]",,4/14 /086 ,4/14 /088 ,4,4,2W,137TH AVENUE                    ,172ND STREET                    ,32,101,QUEENS   ,05,CD Eligible,QN12,2010, 334.02, 334.02, 334.05,31,412, ,42239001/  137 AVENUE                     ,42474001/  172 STREET                     ,4,                                                                                ,54,Ladder 155,Ladder 155,13,00,35.32,44,40.672887,0036820,-73.768516 ,4,QN1204,QS,113,113B, ,412/ 127,7D,4,086 ,14 ,4,088 ,14 ,28,10, 137 AVENUE                     , 172 STREET                     ,                                                                                ,1048462,184512,11434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
653,145th Avenue and Springfield Boulevard,Queens,6/6/2018,POINT (40.664761 -73.75869),,,,,"[{'b7sc': '42297001', 'streetName': ' 145 AVENUE                     '}, {'b7sc': '46329001', 'streetName': 'SPRINGFIELD BOULEVARD           '}]",,4/17 /007 ,,4,4,2W,145TH AVENUE                    ,SPRINGFIELD BOULEVARD           ,31,131,QUEENS   ,05,Not CD Eligible,QN13,1015, 320  , 320  , 320  ,31,413, ,42297001/  145 AVENUE                     ,46329001/ SPRINGFIELD BOULEVARD           ,4,                                                                                ,54,Engine 311,Engine 311,13,00,36.20,44,40.664761,0038805,-73.758690 ,4,QN1306,QS,105,105A, ,413/ 135,5D,4,007 ,17 , ,    ,   ,29,10, 145 AVENUE                     ,SPRINGFIELD BOULEVARD           ,                                                                                ,1051196,181559,11413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
654,147th Avenue and 184th Street,Queens,12/7/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
655,150th Street and 15th Drive,Queens,7/14/2017,POINT (40.78557 -73.813617),,,,,"[{'b7sc': '40614501', 'streetName': '  15 DRIVE                      '}, {'b7sc': '42329001', 'streetName': ' 150 STREET                     '}]",,4/23 /045 ,4/23 /047 ,4,4,2W,150TH STREET                    ,15TH DRIVE                      ,27,107,QUEENS   ,03,Not CD Eligible,QN07,1003,1029  ,1029  ,1029  ,19,407, ,42329001/  150 STREET                     ,40614501/   15 DRIVE                      ,4,                                                                                ,52,Engine 295,Engine 295,14,00,02.22,43,40.785570,0056464,-73.813617 ,6,QN0702,QN,109,109D, ,407/ 076,6E,4,045 ,23 ,4,047 ,23 ,25,11, 150 STREET                     ,  15 DRIVE                      ,                                                                                ,1035864,225536,11357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
656,188th Street and 186th Lane,Queens,3/19/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
657,20th Avenue and Whitestone Expressway (NorthBound Service Road),Queens,11/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
658,20th Avenue and Whitestone Expressway (Southbound Service Road),Queens,11/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
659,212th Street between 18th Avenue and 23rd Avenue) (mid-block),Queens,2/20/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
660,21st Avenue and 24th Street,Queens,4/20/2022,POINT (40.78109 -73.912899),,,,,"[{'b7sc': '40659001', 'streetName': '  21 AVENUE                     '}, {'b7sc': '40719001', 'streetName': '  24 STREET                     '}]",,4/02 /054 ,4/02 /055 ,4,4,2W,21ST AVENUE                     ,24TH STREET                     ,36,301,QUEENS   ,14,CD Eligible,QN01,3000, 103  , 103  , 103  ,22,401, ,40659001/   21 AVENUE                     ,40719001/   24 STREET                     ,4,                                                                                ,49,Engine 312,Engine 312,14,00,01.20,41,40.781090,0042378,-73.912899 ,1,QN0101,QN,114,114B, ,401/ 011,1E,4,054 ,02 ,4,055 ,02 ,30,11,  21 AVENUE                     ,  24 STREET                     ,                                                                                ,1008372,223861,11105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
661,21st Street and 21st Road,Queens,4/21/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
662,21st Street and 30th Avenue,Queens,1/26/2022,POINT (40.769888 -73.927806),,,,,"[{'b7sc': '40674001', 'streetName': '  21 STREET                     '}, {'b7sc': '40779001', 'streetName': '  30 AVENUE                     '}]",,4/12 /067 ,4/02 /011 ,4,4,2W,21ST STREET                     ,30TH AVENUE                     ,36,104,QUEENS   ,14,Not CD Eligible,QN01,1003,  71  ,  71  ,  71  ,22,401, ,40674001/   21 STREET                     ,40779001/   30 AVENUE                     ,4,                                                                                ,49,Engine 262,Engine 262,14,00,03.00,41,40.769888,0041622,-73.927806 ,1,QN0103,QN,114,114C, ,401/ 013,3D,4,067 ,12 ,4,011 ,02 ,30,59,  21 STREET                     ,  30 AVENUE                     ,                                                                                ,1004247,219776,11102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
663,21st Street and 31st Avenue,Queens,10/11/2019,POINT (40.767326 -73.929856),,,,,"[{'b7sc': '40674001', 'streetName': '  21 STREET                     '}, {'b7sc': '40799001', 'streetName': '  31 AVENUE                     '}]",,4/02 /012 ,4/12 /067 ,4,4,2W,21ST STREET                     ,31ST AVENUE                     ,36,101,QUEENS   ,14,Not CD Eligible,QN01,1000,  77  ,  77  ,  77  ,22,401, ,40674001/   21 STREET                     ,40799001/   31 AVENUE                     ,4,                                                                                ,45,Engine 260,Engine 260,14,00,03.00,41,40.767326,0041563,-73.929856 ,1,QN0102,QN,114,114C, ,401/ 013,3D,4,012 ,02 ,4,067 ,12 ,30,59,  21 STREET                     ,  31 AVENUE                     ,                                                                                ,1003680,218842,11106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
664,21st Street and 31st Drive,Queens,10/1/2019,POINT (40.766064 -73.930886),,,,,"[{'b7sc': '40674001', 'streetName': '  21 STREET                     '}, {'b7sc': '40804001', 'streetName': '  31 DRIVE                      '}]",,4/02 /013 ,4/02 /019 ,4,4,2W,21ST STREET                     ,31ST DRIVE                      ,36,104,QUEENS   ,14,Not CD Eligible,QN01,1004,  77  ,  77  ,  77  ,22,401, ,40674001/   21 STREET                     ,40804001/   31 DRIVE                      ,4,                                                                                ,45,Engine 260,Engine 260,14,00,03.00,41,40.766064,0041561,-73.930886 ,1,QN0102,QN,114,114D, ,401/ 013,3E,4,013 ,02 ,4,019 ,02 ,30,59,  21 STREET                     ,  31 DRIVE                      ,                                                                                ,1003395,218382,11106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
665,21st Street and 31st Road,Queens,7/12/2019,POINT (40.766668 -73.930387),,,,,"[{'b7sc': '40674001', 'streetName': '  21 STREET                     '}, {'b7sc': '40809001', 'streetName': '  31 ROAD                       '}]",,4/02 /019 ,4/02 /012 ,4,4,2W,21ST STREET                     ,31ST ROAD                       ,36,101,QUEENS   ,14,Not CD Eligible,QN01,1000,  77  ,  77  ,  77  ,22,401, ,40674001/   21 STREET                     ,40809001/   31 ROAD                       ,4,                                                                                ,45,Engine 260,Engine 260,14,00,03.00,41,40.766668,0041562,-73.930387 ,1,QN0102,QN,114,114C, ,401/ 013,3E,4,019 ,02 ,4,012 ,02 ,30,59,  21 STREET                     ,  31 ROAD                       ,                                                                                ,1003533,218602,11106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
666,21st Street and 34th Avenue,Queens,3/5/2020,POINT (40.762827 -73.933979),,,,,"[{'b7sc': '40674001', 'streetName': '  21 STREET                     '}, {'b7sc': '40844002', 'streetName': '  34 AVENUE                     '}, {'b7sc': '41699501', 'streetName': 'FF MANUEL MOJICA JR FDNY AVE    '}, {'b7sc': '40100601', 'streetName': 'LT PARAMEDIC EDITH TORRES WAY   '}]",,4/01 /086 ,4/01 /087 ,4,4,2W,21ST STREET                     ,34TH AVENUE                     ,36,101,QUEENS   ,07,CD Eligible,QN01,1000,  43  ,  43  ,  43  ,22,401, ,40674001/   21 STREET                     ,40844002/   34 AVENUE                     ,4,                                                                                ,45,Engine 260,Engine 260,14,00,07.10,41,40.762827,0041487,-73.933979 ,1,QN0105,QN,114,114D, ,401/ 013,3E,4,086 ,01 ,4,087 ,01 ,30,59,  21 STREET                     ,  34 AVENUE                     ,                                                                                ,1002539,217202,11106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
667,21st Street and 38th Avenue,Queens,10/10/2019,POINT (40.757472 -73.939099),,,,,"[{'b7sc': '40674001', 'streetName': '  21 STREET                     '}, {'b7sc': '40899001', 'streetName': '  38 AVENUE                     '}]",,4/01 /080 ,4/01 /076 ,4,4,2W,21ST STREET                     ,38TH AVENUE                     ,36,111,QUEENS   ,07,Not CD Eligible,QN01,2008,  29  ,  33  ,  33.02,26,401, ,40674001/   21 STREET                     ,40899001/   38 AVENUE                     ,4,                                                                                ,45,Engine 260,Engine 260,14,00,07.10,41,40.757472,0041406,-73.939099 ,1,QN0105,QN,114,114C, ,401/ 016,6C,4,080 ,01 ,4,076 ,01 ,30,59,  21 STREET                     ,  38 AVENUE                     ,                                                                                ,1001122,215250,11101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
668,21st Street and 40th Avenue,Queens,10/20/2021,POINT (40.755234 -73.941238),,,,,"[{'b7sc': '40674001', 'streetName': '  21 STREET                     '}, {'b7sc': '40934001', 'streetName': '  40 AVENUE                     '}]",,4/01 /073 ,4/01 /074 ,4,4,2W,21ST STREET                     ,40TH AVENUE                     ,36,101,QUEENS   ,07,CD Eligible,QN01,3000,  25  ,  25  ,  25  ,26,401, ,40674001/   21 STREET                     ,40934001/   40 AVENUE                     ,4,                                                                                ,45,Engine 258,Engine 258,14,00,07.20,41,40.755234,0041331,-73.941238 ,1,QN0105,QN,114,114D, ,401/ 016,6C,4,073 ,01 ,4,074 ,01 ,30,59,  21 STREET                     ,  40 AVENUE                     ,                                                                                ,1000530,214434,11101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
669,21st Street and 41st Avenue,Queens,8/17/2019,POINT (40.753996 -73.94243),,,,,"[{'b7sc': '40674001', 'streetName': '  21 STREET                     '}, {'b7sc': '40954001', 'streetName': '  41 AVENUE                     '}]",,4/01 /073 ,4/01 /074 ,4,4,2W,21ST STREET                     ,41ST AVENUE                     ,36,101,QUEENS   ,07,CD Eligible,QN01,3000,  25  ,  25  ,  25  ,26,401, ,40674001/   21 STREET                     ,40954001/   41 AVENUE                     ,4,                                                                                ,45,Engine 258,Engine 258,14,00,07.20,41,40.753996,0041322,-73.942430 ,1,QN0105,QN,114,114D, ,401/ 016,6C,4,073 ,01 ,4,074 ,01 ,30,59,  21 STREET                     ,  41 AVENUE                     ,                                                                                ,1000200,213983,11101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670,21st Street with Astoria Boulevard and 27th Avenue,Queens,1/20/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
671,223rd Street and 103rd Avenue,Queens,11/25/2020,POINT (40.71147 -73.731493),,,,,"[{'b7sc': '41959001', 'streetName': ' 103 AVENUE                     '}, {'b7sc': '42699001', 'streetName': ' 223 STREET                     '}]",,4/13 /060 ,,4,4,2W,223RD STREET                    ,103RD AVENUE                    ,33,308,QUEENS   ,05,Not CD Eligible,QN13,3004, 568  , 568  , 568  ,27,413, ,42699001/  223 STREET                     ,41959001/  103 AVENUE                     ,4,                                                                                ,53,Engine 304,Engine 304,14,00,29.20,44,40.711470,0040355,-73.731493 ,4,QN1303,QS,105,105D, ,413/ 134,4D,4,060 ,13 , ,    ,   ,29,14, 223 STREET                     , 103 AVENUE                     ,                                                                                ,1058689,198598,11429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
672,24th Avenue and 33rd Street,Queens,9/14/2021,POINT (40.771523 -73.914309),,,,,"[{'b7sc': '40709001', 'streetName': '  24 AVENUE                     '}, {'b7sc': '40839001', 'streetName': '  33 STREET                     '}]",,4/02 /070 ,4/02 /063 ,4,4,2W,24TH AVENUE                     ,33RD STREET                     ,34,202,QUEENS   ,14,CD Eligible,QN01,1007, 115  , 115  , 115  ,22,401, ,40709001/   24 AVENUE                     ,40839001/   33 STREET                     ,4,                                                                                ,49,Engine 312,Engine 312,14,00,01.10,41,40.771523,0042315,-73.914309 ,1,QN0101,QN,114,114B, ,401/ 012,2D,4,070 ,02 ,4,063 ,02 ,30,12,  24 AVENUE                     ,  33 STREET                     ,                                                                                ,1007985,220375,11105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
673,25th Avenue and 81st Street,Queens,8/26/2021,POINT (40.762959 -73.887661),,,,,"[{'b7sc': '40724001', 'streetName': '  25 AVENUE                     '}, {'b7sc': '41674001', 'streetName': '  81 STREET                     '}]",,4/10 /055 ,4/10 /056 ,4,4,2W,25TH AVENUE                     ,81ST STREET                     ,34,111,QUEENS   ,14,Not CD Eligible,QN03,1012, 309.01, 309.04, 309.04,22,403, ,40724001/   25 AVENUE                     ,41674001/   81 STREET                     ,4,                                                                                ,49,Engine 307,Engine 307,14,00,06.20,42,40.762959,0046653,-73.887661 ,2,QN0301,QN,115,115B, ,403/ 031,1D,4,055 ,10 ,4,056 ,10 ,30,13,  25 AVENUE                     ,  81 STREET                     ,                                                                                ,1015370,217263,11370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
674,27th Avenue and 8th Street (Goodwill Industries),Queens,8/8/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
