LineNumber,Location,Borough,Errors
1089,Morris Park Avenue and Albert Einstein College of Medicine (mid-block),the Bronx,'ALBERT EINSTEIN COLLEGE OF MEDIC' NOT RECOGNIZED. THERE ARE 004 SIMILAR NAMES. 
1096,Pelham Parkway (WB) between Pearsall Avenue and Throop Avenue (mid-block),the Bronx,'PELHAM PARKWAY (WB)' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES.              
1098,Pelham Parkway N/S Service Roads and Williams Bridge Road,the Bronx,'PELHAM PARKWAY N/S SERVICE ROADS' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES. 
1102,Pelham Parkway South Service Road at Seymour Avenue,the Bronx,'PELHAM PARKWAY SOUTH SERVICE ROA' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES. 
1109,Riverdale Avenue with West 231st Street and Irwin Avenue,the Bronx,                                                                                
1110,Sedgewick Avenue with Dickenson Avenue and Goulden Avenue,the Bronx,'DICKENSON AVENUE' NOT RECOGNIZED. IS IT 'DICKERSON AVENUE'?                    
1111,Sedgwick Avenue and Undercliff Avenue,the Bronx,STREETS INTERSECT TWICE- FT BETWEEN INTERSECTIONS. COMPASS DIRECTION REQ'D      
1112,Sedgwick Avenue and West 229th Street (mid-block),the Bronx,'WEST 229TH STREET (MID-BLOCK)' NOT RECOGNIZED. THERE ARE 002 SIMILAR NAMES.    
1113,Sedgwick Avenue and West 230th Street (mid-block),the Bronx,'WEST 230TH STREET (MID-BLOCK)' NOT RECOGNIZED. THERE ARE 003 SIMILAR NAMES.    
1114,Soundview Avenue at Thieriot Avenue (mid-block),the Bronx,'THIERIOT AVENUE (MID-BLOCK)' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES.      
1115,Southern Boulevard and East 189th Street (mid-block),the Bronx,'EAST 189TH STREET (MID-BLOCK)' NOT RECOGNIZED. THERE ARE 002 SIMILAR NAMES.    
1119,Southern Boulevard with Crotona Parkway and East 176th Street,the Bronx,INPUT DOES NOT DEFINE A STREET SEGMENT                                          
1122,Stillwell Avenue and Pelham Parkway South (Service Road),the Bronx,'PELHAM PARKWAY SOUTH (SERVICE RO' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES. 
1123,Story Avenue and Bruckner Plaza Mall Exit/Entrance (between Boynton & Morrison Avenues),the Bronx,ON STREET IS MISSING                                                            
1127,Unionport Road and Crosswalk East of Metropolitan Oval (mid-block),the Bronx,'CROSSWALK EAST OF METROPOLITAN O' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES. 
1128,University Avenue (Martin Luther King Junior Boulevard) and Morton Place,the Bronx,'UNIVERSITY AVENUE (MARTIN LUTHER' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES. 
1129,University Avenue and Macombs Road,the Bronx,STREETS INTERSECT TWICE- FT BETWEEN INTERSECTIONS. COMPASS DIRECTION REQ'D      
1130,University Avenue and West 175th Street,the Bronx,STREETS INTERSECT TWICE- FT BETWEEN INTERSECTIONS. COMPASS DIRECTION REQ'D      
1132,University Avenue and West 181st Street (mid-block),the Bronx,'WEST 181ST STREET (MID-BLOCK)' NOT RECOGNIZED. IS IT 'WEST  181 STREET'?       
1133,University Avenue with Featherbed Lane and West 174th Street (mid-block),the Bronx,'WEST 174TH STREET (MID-BLOCK)' NOT RECOGNIZED. IS IT 'WEST  174 STREET'?       
1135,Valentine Avenue between East Tremont and East 178th Street,the Bronx,'EAST TREMONT' NOT RECOGNIZED. THERE ARE 002 SIMILAR NAMES.                     
1136,Van Cortlandt Park East between East 239th Street and Oneida Avenue (mid-block),the Bronx,'ONEIDA AVENUE (MID-BLOCK)' NOT RECOGNIZED. THERE ARE 003 SIMILAR NAMES.        
1141,Webster Avenue between East 169th and East 170th Street (mid-block),the Bronx,'EAST 169TH' NOT RECOGNIZED. THERE ARE 002 SIMILAR NAMES.                       
1142,Webster Avenue between East 170th Street and East 171st Street (mid-block),the Bronx,'EAST 171ST STREET (MID-BLOCK)' NOT RECOGNIZED. IS IT 'EAST  171 STREET'?       
1143,Webster Avenue between East Gun Hill Road and East 233rd Street (mid-block),the Bronx,'EAST 233RD STREET (MID-BLOCK)' NOT RECOGNIZED. THERE ARE 005 SIMILAR NAMES.    
1144,Webster Avenue between East Tremont and East 178th Street,the Bronx,'EAST TREMONT' NOT RECOGNIZED. THERE ARE 002 SIMILAR NAMES.                     
1145,West 169th Street with Cromwell Avenue and Inwood Avenue,the Bronx,                                                                                
1148,West Kingsbridge Road with Reservoir Avenue and Aqueduct Avenue West,the Bronx,                                                                                
1149,Westchester Avenue and West Farm Road,the Bronx,'WEST FARM ROAD' NOT RECOGNIZED. IS IT 'WEST FARMS ROAD'?                       
1150,"Westchester Avenue with Crosby, Buhre and Edison Avenues",the Bronx,"'CROSBY, BUHRE' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES.                    "
1155,White Plains Road and Unionport Road,the Bronx,STREETS INTERSECT TWICE- FT BETWEEN INTERSECTIONS. COMPASS DIRECTION REQ'D      
1156,White Plains Road with Bronxdale Avenue and Unionport Road,the Bronx,                                                                                
1159,Williamsbridge Road and Sacket Avenue,the Bronx,STREETS INTERSECT TWICE- FT BETWEEN INTERSECTIONS. COMPASS DIRECTION REQ'D      
